servers's processes start in 23:19:17
iteration 706::  558.116 ms
iteration 707::  542.691 ms
iteration 708::  618.248 ms
iteration 709::  556.446 ms
iteration 710::  643.405 ms
iteration 711::  536.445 ms
iteration 712::  561.891 ms
iteration 713::  523.143 ms
iteration 714::  532.85 ms
iteration 715::  532.234 ms
iteration 716::  522.255 ms
iteration 717::  508.776 ms
iteration 718::  519.214 ms
iteration 719::  520.966 ms
iteration 720::  614.265 ms
iteration 721::  520.563 ms
iteration 722::  515.384 ms
iteration 723::  526.315 ms
iteration 724::  516.648 ms
iteration 725::  599.106 ms
iteration 726::  611.036 ms
iteration 727::  543.33 ms
iteration 728::  531.667 ms
iteration 729::  517.361 ms
iteration 730::  518.216 ms
iteration 731::  554.728 ms
iteration 732::  543.764 ms
iteration 733::  563.236 ms
iteration 734::  602.634 ms
iteration 735::  533.614 ms
iteration 736::  560.363 ms
iteration 737::  526.62 ms
iteration 738::  568.797 ms
iteration 739::  615.531 ms
iteration 740::  628.198 ms
iteration 741::  524.742 ms
iteration 742::  521.013 ms
iteration 743::  537.719 ms
iteration 744::  606.408 ms
iteration 745::  525.447 ms
iteration 746::  518.132 ms
iteration 747::  585.359 ms
iteration 748::  527.715 ms
iteration 749::  579.291 ms
iteration 750::  537.83 ms
iteration 751::  528.363 ms
iteration 752::  515.632 ms
iteration 753::  514.218 ms
iteration 754::  512.369 ms
iteration 755::  557.882 ms
iteration 756::  538.083 ms
iteration 757::  538 ms
iteration 758::  554.626 ms
iteration 759::  545.71 ms
iteration 760::  591.022 ms
iteration 761::  531.098 ms
iteration 762::  526.048 ms
iteration 763::  516.305 ms
iteration 764::  516.59 ms
iteration 765::  574.082 ms
iteration 766::  615.18 ms
iteration 767::  615.21 ms
iteration 768::  551.831 ms
iteration 769::  636.629 ms
iteration 770::  550.439 ms
iteration 771::  536.631 ms
iteration 772::  617.508 ms
iteration 773::  584.591 ms
iteration 774::  546.024 ms
iteration 775::  592.028 ms
iteration 776::  517.048 ms
iteration 777::  512.129 ms
iteration 778::  653.533 ms
iteration 779::  560.904 ms
iteration 780::  540.093 ms
iteration 781::  628.703 ms
iteration 782::  561.491 ms
iteration 783::  562.436 ms
iteration 784::  526.283 ms
iteration 785::  520.785 ms
iteration 786::  527.013 ms
iteration 787::  517.057 ms
iteration 788::  528.748 ms
iteration 789::  578.384 ms
iteration 790::  612.45 ms
iteration 791::  520.297 ms
iteration 792::  518.495 ms
iteration 793::  668.667 ms
iteration 794::  550.178 ms
iteration 795::  540.52 ms
iteration 796::  562.086 ms
iteration 797::  525.249 ms
iteration 798::  522.199 ms
iteration 799::  686.872 ms
iteration 800::  623.393 ms
iteration 801::  606.052 ms
iteration 802::  543.685 ms
iteration 803::  539.354 ms
iteration 804::  539.578 ms
iteration 805::  603.451 ms
iteration 806::  517.977 ms
iteration 807::  539.587 ms
iteration 808::  528.655 ms
iteration 809::  571.898 ms
iteration 810::  533.943 ms
iteration 811::  628.337 ms
iteration 812::  616.873 ms
iteration 813::  558.536 ms
iteration 814::  548.845 ms
iteration 815::  544.584 ms
iteration 816::  631.616 ms
iteration 817::  588.156 ms
iteration 818::  530.651 ms
iteration 819::  581.876 ms
iteration 820::  529.242 ms
iteration 821::  640.689 ms
iteration 822::  554.851 ms
iteration 823::  545.765 ms
iteration 824::  537.142 ms
iteration 825::  539.979 ms
iteration 826::  540.03 ms
iteration 827::  533.491 ms
iteration 828::  562.573 ms
iteration 829::  590.964 ms
iteration 830::  558.002 ms
iteration 831::  546.269 ms
iteration 832::  547.41 ms
iteration 833::  649.497 ms
iteration 834::  530.799 ms
iteration 835::  527.794 ms
iteration 836::  539.471 ms
iteration 837::  515.571 ms
iteration 838::  525.027 ms
iteration 839::  520.473 ms
iteration 840::  513.562 ms
iteration 841::  518.646 ms
iteration 842::  516.504 ms
iteration 843::  515.376 ms
iteration 844::  517.084 ms
iteration 845::  528.363 ms
iteration 846::  638.166 ms
iteration 847::  545.979 ms
iteration 848::  507.985 ms
iteration 849::  618.315 ms
iteration 850::  577.312 ms
iteration 851::  568.68 ms
iteration 852::  582.551 ms
iteration 853::  554.067 ms
iteration 854::  532.235 ms
iteration 855::  640.683 ms
iteration 856::  555.429 ms
iteration 857::  544.779 ms
iteration 858::  585.382 ms
iteration 859::  528.729 ms
iteration 860::  554.392 ms
iteration 861::  600.387 ms
iteration 862::  576.608 ms
iteration 863::  616.517 ms
iteration 864::  538.969 ms
iteration 865::  533.121 ms
iteration 866::  520.638 ms
iteration 867::  600.511 ms
iteration 868::  550.798 ms
iteration 869::  523.378 ms
iteration 870::  617.718 ms
iteration 871::  521.961 ms
iteration 872::  564.997 ms
iteration 873::  546.008 ms
iteration 874::  574.66 ms
iteration 875::  614.958 ms
iteration 876::  553.36 ms
iteration 877::  606.826 ms
iteration 878::  568.823 ms
iteration 879::  625.022 ms
iteration 880::  540.462 ms
iteration 881::  584.51 ms
iteration 882::  574.105 ms
iteration 883::  629.043 ms
iteration 884::  577.073 ms
iteration 885::  582.347 ms
iteration 886::  623.435 ms
iteration 887::  515.552 ms
iteration 888::  510.342 ms
iteration 889::  522.649 ms
iteration 890::  532.572 ms
iteration 891::  532.585 ms
iteration 892::  587.886 ms
iteration 893::  597.76 ms
iteration 894::  591.458 ms
iteration 895::  550.241 ms
iteration 896::  610.866 ms
iteration 897::  536.677 ms
iteration 898::  604.306 ms
iteration 899::  649.252 ms
iteration 900::  533.441 ms
iteration 901::  533.041 ms
iteration 902::  635.937 ms
iteration 903::  560.826 ms
iteration 904::  531.342 ms
iteration 905::  539.839 ms
iteration 906::  528.811 ms
iteration 907::  519.152 ms
iteration 908::  520.706 ms
iteration 909::  507.365 ms
iteration 910::  595.942 ms
iteration 911::  519.134 ms
iteration 912::  582.148 ms
iteration 913::  548.079 ms
iteration 914::  531.979 ms
iteration 915::  530.84 ms
iteration 916::  564.215 ms
iteration 917::  522.528 ms
iteration 918::  537.39 ms
iteration 919::  610.42 ms
iteration 920::  518.677 ms
iteration 921::  519.405 ms
iteration 922::  513.956 ms
iteration 923::  528.839 ms
iteration 924::  639.826 ms
iteration 925::  593.66 ms
iteration 926::  569.336 ms
iteration 927::  522.778 ms
iteration 928::  591.254 ms
iteration 929::  616.879 ms
iteration 930::  558.44 ms
iteration 931::  543.405 ms
iteration 932::  620.498 ms
iteration 933::  572.749 ms
iteration 934::  550.226 ms
iteration 935::  614.326 ms
iteration 936::  642.305 ms
iteration 937::  611.064 ms
iteration 938::  515.44 ms
iteration 939::  504.955 ms
iteration 940::  503.053 ms
iteration 941::  516.867 ms
iteration 942::  599.561 ms
iteration 943::  623.619 ms
iteration 944::  600.499 ms
iteration 945::  578.458 ms
iteration 946::  618.485 ms
iteration 947::  565.219 ms
iteration 948::  532.085 ms
iteration 949::  573.151 ms
iteration 950::  537.583 ms
iteration 951::  499.671 ms
iteration 952::  531.124 ms
iteration 953::  553.057 ms
iteration 954::  535.002 ms
iteration 955::  569.268 ms
iteration 956::  513.563 ms
iteration 957::  526.874 ms
iteration 958::  523.671 ms
iteration 959::  509.825 ms
iteration 960::  525.061 ms
iteration 961::  554.939 ms
iteration 962::  547.047 ms
iteration 963::  551.401 ms
iteration 964::  537.365 ms
iteration 965::  594.019 ms
iteration 966::  547.551 ms
iteration 967::  521.031 ms
iteration 968::  544.874 ms
iteration 969::  539.195 ms
iteration 970::  518.06 ms
iteration 971::  570.472 ms
iteration 972::  531.919 ms
iteration 973::  530.093 ms
iteration 974::  532.228 ms
iteration 975::  542.451 ms
iteration 976::  628.384 ms
iteration 977::  544.932 ms
iteration 978::  561.799 ms
iteration 979::  556.382 ms
iteration 980::  586.644 ms
iteration 981::  546.068 ms
iteration 982::  526.022 ms
iteration 983::  567.002 ms
iteration 984::  588.87 ms
iteration 985::  517.131 ms
iteration 986::  516.884 ms
iteration 987::  513.696 ms
iteration 988::  563.034 ms
iteration 989::  557.939 ms
iteration 990::  559.23 ms
iteration 991::  531.612 ms
iteration 992::  615.067 ms
iteration 993::  572.473 ms
