,thread,time,event
,0,5890,worker is executing another tasks
,0,5890,worker try execute another tasks from 1 rank
,3,5891,task 8 pass to 2
,3,5892,task 12 pass to 1
,0,5893,worker executed 8 task
,0,5893,worker try execute another tasks from 1 rank
,0,5894,rank 1 haven't tasks
,0,5894,worker try execute another tasks from 0 rank
,3,5895,task 21 pass to 2
,0,5898,worker executed 21 task
,0,5898,worker try execute another tasks from 0 rank
,0,5911,rank 0 haven't tasks
,0,5911,worker finished job
,6,5940,tasks.size = 14
,0,5944,worker is executing own tasks
,3,5968,change location in 0 for task 8 counter was 1
,3,5968,change location in 1 for task 8 counter was 0
,3,5968,map changed for task 8; sendedTaskCounter.size = 0
,3,5968,delete task 8
,0,5972,worker is executing another tasks
,0,5972,worker try execute another tasks from 1 rank
,0,5973,rank 1 haven't tasks
,0,5973,worker try execute another tasks from 0 rank
,0,5973,rank 0 haven't tasks
,0,5973,worker finished job
,6,6020,tasks.size = 13
,0,6033,worker is executing own tasks
,3,6054,change location in 0 for task 22 counter was 1
,3,6054,delete task 22
,3,6054,change location in 1 for task 22 counter was 0
,3,6054,map changed for task 22; sendedTaskCounter.size = 1
,3,6054,change location in 1 for task 17 counter was 1
,3,6055,delete task 17
,3,6055,change location in 0 for task 17 counter was 0
,3,6055,map changed for task 17; sendedTaskCounter.size = 0
,0,6057,worker is executing another tasks
,0,6057,worker try execute another tasks from 1 rank
,0,6075,rank 1 haven't tasks
,0,6075,worker try execute another tasks from 0 rank
,0,6075,rank 0 haven't tasks
,0,6076,worker finished job
,6,6080,tasks.size = 11
,0,6084,worker is executing own tasks
,0,6107,worker is executing another tasks
,0,6107,worker try execute another tasks from 1 rank
,3,6110,task 8 pass to 2
,0,6112,worker executed 8 task
,0,6112,worker try execute another tasks from 1 rank
,0,6127,rank 1 haven't tasks
,0,6127,worker try execute another tasks from 0 rank
,0,6127,rank 0 haven't tasks
,0,6128,worker finished job
,6,6128,tasks.size = 12
,0,6138,worker is executing own tasks
,0,6163,worker is executing another tasks
,0,6163,worker try execute another tasks from 1 rank
,0,6164,rank 1 haven't tasks
,0,6164,worker try execute another tasks from 0 rank
,0,6164,rank 0 haven't tasks
,0,6164,worker finished job
,6,6164,tasks.size = 12
,0,6172,worker is executing own tasks
,0,6195,worker is executing another tasks
,0,6195,worker try execute another tasks from 1 rank
,3,6196,change location in 1 for task 8 counter was 1
,0,6196,rank 1 haven't tasks
,0,6196,worker try execute another tasks from 0 rank
,3,6196,change location in 0 for task 8 counter was 0
,3,6196,map changed for task 8; sendedTaskCounter.size = 0
,0,6196,rank 0 haven't tasks
,0,6196,worker finished job
,3,6196,delete task 8
,6,6204,tasks.size = 11
,0,6208,worker is executing own tasks
,0,6232,worker is executing another tasks
,0,6232,worker try execute another tasks from 1 rank
,0,6232,rank 1 haven't tasks
,0,6232,worker try execute another tasks from 0 rank
,0,6232,rank 0 haven't tasks
,0,6232,worker finished job
,6,6236,tasks.size = 11
,0,6239,worker is executing own tasks
,0,6262,worker is executing another tasks
,0,6262,worker try execute another tasks from 1 rank
,0,6262,rank 1 haven't tasks
,0,6262,worker try execute another tasks from 0 rank
,0,6263,rank 0 haven't tasks
,0,6263,worker finished job
,6,6266,tasks.size = 11
,0,6269,worker is executing own tasks
,0,6293,worker is executing another tasks
,0,6293,worker try execute another tasks from 1 rank
,0,6293,rank 1 haven't tasks
,0,6293,worker try execute another tasks from 0 rank
,0,6293,rank 0 haven't tasks
,0,6293,worker finished job
,6,6297,tasks.size = 11
,0,6300,worker is executing own tasks
,0,6324,worker is executing another tasks
,0,6324,worker try execute another tasks from 1 rank
,0,6324,rank 1 haven't tasks
,0,6324,worker try execute another tasks from 0 rank
,0,6324,rank 0 haven't tasks
,0,6324,worker finished job
